feature,importances
all_win_rate3_breeding_farm_class_code_field_type,699.0770492553711
jockey_EloRating_diff_from_last3_racing,692.6815905570984
all_win_rate3_father_broodmare_sire_place_field_type,691.6854168176651
horse_win_rate3_dist_type_track_code,689.4947390556335
all_win_rate_father_broodmare_sire_place_weather,675.9310423135757
all_win_rate3_field_type_dist_waku,675.8064317703247
all_win_rate3_father_trainer_id,672.067621588707
all_win_rate3_mother_dist,665.9526083469391
all_win_rate3_weather_state_waku,663.6259980201721
all_win_rate3_father_broodmare_sire_race_type,661.6714698076248
all_win_rate_trainer_id_weather,659.8889439105988
all_win_rate_breeding_farm_season,654.5162789821625
all_win_rate3_father_jockey_id,654.2484480142593
先行_cumcount_past_racing,653.2185617685318
all_win_rate3_trainer_id_state,648.0684278011322
all_win_rate_weather_state_place_field_type_waku,640.5078482627869
all_win_rate_owner_state_field_type,638.3910090923309
horse_win_rate3_season_state_class_code,635.3769702911377
all_win_rate_jockey_id,631.8252577781677
horse_win_rate_dist_type,628.3483510017395
past_corner4_rank_mean_grouped_dist_type,614.7365908622742
all_win_rate_father_jockey_id,608.0033926963806
horse_win_rate_waku_num,606.906541466713
horse_TrueSkill_min_horse_EloRating,606.492301940918
all_win_rate_trainer_id_jockey_id_season,606.3596494197845
past_pop_mean_grouped_place,600.8059406280518
horse_win_rate_weather,599.2145707607269
all_win_rate_owner_class_code_field_type,590.3068301677704
horse_win_rate3_season_weather,587.3062596321106
all_win_rate3_trainer_id_jockey_id,584.9444819688797
horse_win_rate3_dist_field_type_waku,581.2989710569382
horse_EloRating,580.2285305261612
all_win_rate_race_type_waku,578.3145508766174
all_win_rate_jockey_id_corner_num,576.6604807376862
horse_win_rate3_season_weather_class_code,576.3908479213715
all_win_rate_owner_place,571.4066405296326
all_win_rate_breeding_place_class_code_race_type_waku,570.4162714481354
all_win_rate_father_weather_state,569.2953293323517
jockey_TrueSkill_horse_EloRating,568.9244401454926
all_win_rate_father_dist,555.5395359992981
all_win_rate3_owner_season,553.465173959732
all_win_rate_father_race_type,550.0463575124741
all_win_rate3_breeding_place_race_type_waku,548.637326002121
all_win_rate3_father_breeding_farm,548.5789304971695
all_win_rate_trainer_id_jockey_id_state_field_type,547.966680765152
all_win_rate3_weather_state_field_type_waku,544.713583946228
all_win_rate3_mother_weather_state,542.2694008350372
all_win_rate3_jockey_id_turn_type_field_type_waku,539.6099579334259
all_prize_in_group_father,534.9470188617706
all_win_rate3_father_breeding_place,532.0978498458862
num_of_entries,530.1220421791077
all_win_rate_owner,529.8321437835693
all_win_rate_trainer_id_season,526.6635522842407
all_win_rate_owner_season,517.203910112381
horse_win_rate_season_weather,515.1187224388123
all_win_rate3_mother_place_dist,512.7031800746918
all_win_rate3_trainer_id_waku,511.5309590101242
horse_EloRating_horse_Glicko2_max,511.4851369857788
all_win_rate_trainer_id_jockey_id,509.65472960472107
waku_num,507.45104122161865
all_win_rate_mother_weather_season,505.71285116672516
all_win_rate3_mother_turn_type,505.65943121910095
all_win_rate_field_type_dist_waku,504.49800860881805
all_win_rate_trainer_id_jockey_id_class_code_field_type,500.8915503025055
jockey_TrueSkill_min_horse_EloRating,500.85855782032013
horse_win_rate3_dist_track_code,494.56931161880493
all_win_rate3_place_waku,492.4356849193573
all_win_rate3_dist_place_waku,490.5433439016342
all_win_rate_owner_state,490.3117833137512
all_win_rate3_corner_num_place_waku,490.0423264503479
all_win_rate3_jockey_id_place_dist,489.8107805252075
horse_win_rate_jockey_id_place,489.5879695415497
all_win_rate3_breeding_farm_season,487.0971746444702
horse_win_rate3_turn_type,486.2010464668274
jockey_TrueSkill_sigma,484.2311292886734
all_win_rate_jockey_id_place,482.97273778915405
all_win_rate3_father_broodmare_sire_breeding_farm,479.3041408061981
horse_win_rate3_weather_class_code_place,479.1139290332794
horse_TrueSkill_horse_TrueSkill_max,478.36320436000824
all_win_rate3_turn_type_place_waku,477.0216009616852
all_win_rate_father_owner,472.64092004299164
all_win_rate3_father_broodmare_sire_sex,468.6023404598236
horse_win_rate_place,457.5520706176758
all_win_rate_place_waku,456.3831012248993
all_win_rate3_father_class_code,456.15581953525543
all_win_rate_turn_type_place_waku,455.6987807750702
all_win_rate_trainer_id_jockey_id_class_code_race_type_waku,455.36477041244507
all_win_rate3_father_race_type,454.4283564090729
all_win_rate3_jockey_id_turn_type_dist_place_waku,453.7492798566818
all_win_rate3_breeding_place_place,450.83027148246765
all_win_rate_corner_num_field_type_waku,448.9946219921112
all_win_rate_jockey_id_state,444.9060009717941
all_win_rate_mother_state,438.72100698947906
all_win_rate_jockey_id_class_code_field_type,437.5544521808624
all_win_rate_turn_type_dist_type_waku,436.092973947525
all_win_rate_father_broodmare_sire_breeding_farm,435.4575500488281
all_win_rate_mother_dist_type,432.0030107498169
all_win_rate_father_broodmare_sire_place,429.2773711681366
all_win_rate3_father_broodmare_sire_breeding_place,428.51692175865173
horse_win_rate3_dist,427.13863492012024
all_win_rate_trainer_id_jockey_id_race_type_waku,418.1593792438507
all_win_rate_jockey_id_turn_type_place_waku,417.8140859603882
all_win_rate_owner_class_code,412.3696700334549
all_win_rate_weather_field_type_waku,410.67588782310486
horse_win_rate_age_type,409.21822941303253
horse_win_rate3_season_weather_state,406.08296942710876
all_win_rate3_mother_place_dist_type,405.77144861221313
all_win_rate_jockey_id_turn_type_field_type_waku,403.9737322330475
all_win_rate_mother_owner,402.61019933223724
all_win_rate_father_broodmare_sire_place_dist_type,402.4189828634262
all_win_rate3_mother_state,400.88529121875763
all_win_rate3_owner,399.43034422397614
all_win_rate_trainer_id_jockey_id_field_type,393.91202878952026
all_win_rate3_father_place_dist_type,390.3360900878906
all_win_rate_jockey_id_waku,389.8630895614624
all_win_rate3_jockey_id_turn_type,389.5967824459076
horse_win_rate_dist_type_track_code,389.5108528137207
past_rank_mean_grouped_dist_type,389.2143808603287
all_win_rate_breeding_place_waku,387.80351734161377
all_win_rate_mother_place_weather,387.72226119041443
horse_TrueSkill_min_jockey_TrueSkill_min,386.26852917671204
horse_win_rate_weight_code,380.9939595460892
all_win_rate3_mother_dist_type,380.0242590904236
horse_win_rate_corner_num,378.5357482433319
all_win_rate3_father_broodmare_sire_track_code,376.38854026794434
horse_win_rate_season_waku,375.55448055267334
all_win_rate3_jockey_id_state,371.90095686912537
all_win_rate_jockey_id_field_type,371.4186954498291
all_win_rate_jockey_id_dist_type_waku,370.96217250823975
all_win_rate3_father_broodmare_sire_dist,370.8310492038727
all_win_rate_trainer_id_jockey_id_state,368.6725500822067
horse_TrueSkill,368.37364745140076
all_win_rate_breeding_farm_weather,366.5918506383896
all_win_rate_father_dist_type,364.9194185733795
all_win_rate3_corner_num_dist_waku,364.3208312988281
all_win_rate3_breeding_farm_weather,361.452609539032
all_win_rate3_father_broodmare_sire_place_dist,360.46687936782837
all_win_rate3_jockey_id_dist_type_waku,359.8127384185791
all_win_rate_mother_place_dist_type,356.7749319076538
all_win_rate3_trainer_id_jockey_id_weather,353.1986930370331
horse_TrueSkill_max_horse_EloRating,352.231609582901
all_win_rate_trainer_id_state,351.37891149520874
horse_win_rate3_waku_num,350.5070388317108
past_rank_mean_grouped_dist,349.996298789978
all_win_rate_mother_trainer_id,349.5863285064697
all_win_rate_jockey_id_dist_type,347.43552911281586
all_win_rate_field_type_weather_waku,341.5139887332916
all_win_rate3_breeding_farm_place,341.17823898792267
all_win_rate3_mother_breeding_place,340.6908001899719
all_win_rate_jockey_id_turn_type,336.7792634963989
all_win_rate_father_breeding_place,335.3207802772522
all_win_rate_owner_class_code_race_type_waku,335.2054681777954
all_win_rate3_father_broodmare_sire,334.2120008468628
all_win_rate3_father_broodmare_sire_state,333.48373913764954
all_win_rate3_jockey_id_dist_type,330.44378423690796
all_win_rate_mother_place_field_type,329.6576900482178
jockey_TrueSkill_diff_from_last1_racing,327.72632908821106
all_win_rate3_turn_type_dist_type_waku,327.701726436615
all_win_rate_father_broodmare_sire_place_state,326.628830075264
all_win_rate_weather_state_field_type_waku,326.2493886947632
all_win_rate_mother_weather,324.6363981962204
all_win_rate3_father_owner,323.22689056396484
all_win_rate3_jockey_id_place_waku,322.88525891304016
all_win_rate_breeding_farm_race_type_waku,322.1684195995331
horse_TrueSkill_min_jockey_Glicko2_max,322.057630777359
inc_dec_mean_last_1_to_3,321.27738082408905
all_win_rate_breeding_farm_place,319.9081599712372
horse_win_rate3_jockey_id_place,317.1311985254288
past_rank_mean_grouped_waku,314.2365094423294
horse_win_rate3_place,313.99436473846436
all_win_rate3_breeding_place_weather,312.42427945137024
all_win_rate3_father_dist_type,312.4009895324707
all_win_rate3_jockey_id_corner_num_waku,310.80955028533936
all_win_rate_father_broodmare_sire_dist,306.7963602542877
all_win_rate3_father_broodmare_sire_place,304.1451983451843
all_win_rate3_trainer_id_jockey_id_state,302.93522787094116
all_win_rate3_jockey_id_weather_field_type,297.7117533683777
all_win_rate3_father_place_dist,297.4148495197296
all_win_rate_dist_waku,294.56592857837677
all_win_rate3_mother_owner,293.8635276556015
all_win_rate3_father_broodmare_sire_place_dist_type,293.8251473903656
all_win_rate_jockey_id_weather_waku,291.77953922748566
all_win_rate_father_breeding_farm,290.6795426607132
horse_win_rate3_weather_class_code_waku,289.18466877937317
horse_win_rate3_place_field_type_dist_type,286.72910714149475
all_win_rate_mother_season,285.0871306657791
all_win_rate3_trainer_id_race_type_waku,284.33588099479675
all_win_rate3_father_season,284.33022904396057
all_win_rate3_father_dist,283.2897698879242
horse_win_rate_season_state,283.0401294231415
inc_dec_last_1,282.0929306745529
all_win_rate_dist_place_waku,279.0272696018219
all_win_rate_jockey_id_place_waku,277.6420986652374
all_win_rate3_mother_sex,275.9663381576538
all_win_rate_father_broodmare_sire_track_code,275.8089904785156
all_win_rate_mother_class_code,275.1595102548599
all_win_rate_breeding_farm_class_code_field_type,274.58765029907227
all_win_rate_father_sex,274.26048851013184
all_win_rate3_mother_place_state,274.20684945583344
horse_win_rate3_dist_place,273.1589187383652
all_win_rate_father_broodmare_sire_weather_state,271.97789001464844
all_win_rate_father_place_weather_state,266.4658991098404
all_win_rate_father_broodmare_sire_owner,265.43987941741943
horse_win_rate3_weather_class_code_state,263.6120593547821
all_win_rate_turn_type_field_type_dist_type_waku,263.2481598854065
all_win_rate_jockey_id_turn_type_dist_waku,261.54190850257874
all_win_rate_jockey_id_turn_type_dist_place_waku,261.1314617395401
inc_dec_rate,259.65571880340576
inc_dec_last_2,257.036009311676
all_win_rate3_father_broodmare_sire_place_weather,255.2716600894928
all_win_rate3_jockey_id,254.87288069725037
all_win_rate_breeding_place_class_code,253.86152029037476
all_win_rate3_breeding_place_season,253.54220008850098
all_win_rate_mother_dist,252.85607981681824
all_win_rate3_trainer_id_jockey_id_race_type_waku,249.3830602169037
jockey_EloRating_diff_from_last1_racing,247.9533495903015
all_win_rate3_father_broodmare_sire_place_state,247.8164609670639
horse_win_rate3_place_field_type_dist,247.70597851276398
all_prize_in_group_broodmare_sire,247.5049295425415
horse_TrueSkill_min_jockey_Glicko2,245.1994309425354
horse_win_rate_season_weather_state,244.31466960906982
jockey_Glicko2_RD,243.62461113929749
all_win_rate3_jockey_id_turn_type_field_type,242.57732152938843
all_win_rate_breeding_farm_waku,242.33543825149536
all_win_rate_jockey_id_season_waku,241.67852091789246
all_win_rate_father_place_dist,241.04992032051086
horse_TrueSkill_max_jockey_Glicko2,239.69846844673157
inc_dec_last_3,238.97856950759888
all_win_rate3_father_turn_type,236.220609664917
all_win_rate3_jockey_id_waku,234.0009479522705
all_win_rate_jockey_id_turn_type_field_type,231.34360122680664
all_win_rate_corner_num_place_waku,230.52727675437927
horse_win_rate_dist_corner_num,230.11268091201782
all_win_rate3_father_broodmare_sire_dist_type,228.42645955085754
all_win_rate_father_broodmare_sire_place_dist,228.1820012331009
all_win_rate3_father_broodmare_sire_weather_season,227.11850023269653
all_win_rate_breeding_place_weather,226.6713104248047
all_win_rate3_owner_waku,225.5029399394989
all_win_rate3_mother_place,224.04989910125732
all_win_rate_mother_breeding_farm,222.96335995197296
all_win_rate3_jockey_id_state_waku,220.96554231643677
horse_win_rate_dist_field_type,220.8894693851471
Ave_3F_mean_last_1_to_3,220.82864940166473
inc_dec,219.72584974765778
all_win_rate_breeding_place_race_type_waku,218.20917987823486
horse_TrueSkill_sigma,216.89794898033142
all_win_rate_father_broodmare_sire_trainer_id,216.63082146644592
all_win_rate3_mother_breeding_farm,215.2702796459198
all_win_rate3_mother_season,214.5075204372406
後方_per_entries,213.38579106330872
all_win_rate3_father,210.2072787284851
all_win_rate_father_turn_type,208.9667809009552
all_win_rate_father_broodmare_sire_weather,207.05995988845825
all_win_rate_corner_num_dist_waku,206.6917188167572
Ave_3F_last_1,204.4060298204422
horse_win_rate3_weather_waku,202.35898852348328
horse_win_rate_weather_waku,200.177729845047
all_win_rate_father_broodmare_sire_state,199.42749059200287
horse_win_rate_dist_type_corner_num,199.41170001029968
horse_TrueSkill_max_jockey_Glicko2_max,199.4095698595047
all_win_rate_breeding_place_place,196.27453112602234
all_win_rate3_owner_weather,195.7297706604004
horse_win_rate_dist_place_waku,194.98668003082275
horse_TrueSkill_max_jockey_Glicko2_min,194.96292161941528
horse_TrueSkill_min_jockey_Glicko2_min,194.29557180404663
horse_win_rate_weather_state,192.84524965286255
all_win_rate_jockey_id_weather_field_type,192.41468119621277
all_win_rate_owner_waku,192.1112983226776
all_win_rate_father_broodmare_sire_breeding_place,190.6116602420807
Ave_3F_last_3,190.0813307762146
all_win_rate_jockey_id_state_waku,185.94986963272095
all_win_rate3_father_place,185.65883898735046
all_win_rate_mother_place_state,184.48096919059753
all_prize_in_group_father_broodmare_sire,184.3730983734131
all_win_rate_father_broodmare_sire_jockey_id,183.94058966636658
past_rank_mean_grouped_dist_type_waku,183.07073044776917
jockey_EloRating,181.66576981544495
all_win_rate3_jockey_id_weather_state_field_type,181.63961851596832
all_win_rate3_jockey_id_class_code_field_type,180.5287607908249
horse_Glicko2_max_jockey_Glicko2_max,176.81405234336853
all_win_rate3_mother_weather,176.3792600631714
all_win_rate_jockey_id_season,175.37695145606995
all_win_rate3_jockey_id_place,174.95952916145325
all_win_rate_breeding_farm_class_code,172.5187201499939
horse_win_rate3_jockey_id_weather,172.38131070137024
all_win_rate3_breeding_farm_state_field_type,171.47336053848267
all_win_rate3_jockey_id_field_type,169.77311968803406
all_win_rate3_father_broodmare_sire_season,169.00039994716644
all_win_rate_father_place_state,168.84844970703125
Ave_3F_last_2,167.8952808380127
all_win_rate3_father_place_weather_state,166.4145702123642
all_win_rate_jockey_id_weather,164.1379017829895
all_win_rate_breeding_farm_state_field_type,163.74378967285156
all_win_rate3_father_place_state,161.41575860977173
all_win_rate_trainer_id_jockey_id_weather,157.92357993125916
all_win_rate_father_broodmare_sire_place_weather_state,156.49121022224426
jockey_TrueSkill_max,156.36623752117157
all_win_rate3_father_broodmare_sire_place_weather_state,155.15737986564636
jockey_TrueSkill_jockey_EloRating,154.257319688797
all_win_rate3_dist_waku,148.25764894485474
day_of_year,148.1159394979477
all_prize_per_racing_in_group_mother,147.42905974388123
horse_win_rate3_season_weather_state_class_code,146.1674016714096
all_win_rate_breeding_farm_state,145.82189965248108
all_win_rate_father_place_field_type,145.11914920806885
all_win_rate3_father_state,145.10206127166748
all_win_rate_father_broodmare_sire_dist_type,143.4817703962326
horse_win_rate_place_field_type_dist_type,142.9905104637146
all_win_rate_mother_jockey_id,142.7693498134613
all_win_rate_jockey_id_corner_num_waku,142.16610050201416
